  NIT   NF   F                       GTG
  318 3209  8.290101443276715E+00   3.25918708E+03
  319 3223  8.268692946933573E+00   5.31980702E+03
  320 3232  8.256094811376132E+00   1.56080276E+04
  321 3241  8.243666220456410E+00   3.52829864E+03
  322 3250  8.235152723194956E+00   2.06777460E+03
  323 3259  8.227793241637199E+00   1.07931144E+03
  324 3274  8.195280949743541E+00   1.76267540E+04
  325 3283  8.173146702289490E+00   5.66348793E+03
  326 3297  8.140343248942019E+00   1.43146746E+03
  327 3312  8.104329455835597E+00   6.34111879E+02
  328 3341  8.019051946256106E+00   9.46741264E+04
  329 3350  7.993904613566503E+00   6.23307609E+03
  330 3381  7.917348094647602E+00   6.68478409E+03
  331 3384  7.908628324556029E+00   8.10067848E+03
  332 3393  7.889735322159967E+00   3.10814777E+03
  333 3403  7.878256607261559E+00   5.03199109E+02
  334 3412  7.866702932387652E+00   3.07811525E+03
  335 3427  7.837505033324292E+00   9.86273485E+02
  336 3442  7.809459864511852E+00   9.24057471E+02
  337 3452  7.795564513461297E+00   2.96062772E+02
  338 3467  7.772891524444534E+00   2.44081028E+02
  339 3477  7.762932290549756E+00   2.26457561E+03
  340 3492  7.741690298321553E+00   1.59867889E+03
  341 3496  7.739440544167259E+00   3.00168857E+03
  342 3512  7.707146990419068E+00   1.27020479E+03
  343 3521  7.695533574890082E+00   8.74276703E+03
  344 3529  7.682421119039656E+00   2.45358727E+03
  345 3544  7.661504773265498E+00   1.84701727E+03
  346 3558  7.648534520637617E+00   2.93212086E+03
  347 3573  7.626972590369635E+00   3.45477107E+03
  348 3582  7.620222416980167E+00   2.93922391E+02
  349 3592  7.612706570642151E+00   8.60380937E+01
  350 3612  7.578660107611559E+00   2.02815052E+03
  351 3632  7.549251513507950E+00   8.37557237E+02
  352 3642  7.541718139147617E+00   1.14883477E+02
  353 3661  7.518121511758255E+00   7.17942955E+02
  354 3682  7.490211999930310E+00   5.19357497E+03
  355 3699  7.466557607120694E+00   3.07441334E+03
  356 3715  7.449395286065728E+00   1.64849881E+03
  357 3731  7.427844311209006E+00   9.20834367E+03
  358 3748  7.406257019609880E+00   2.29365971E+02
  359 3752  7.404433692972151E+00   1.00738818E+03
  360 3761  7.393876293839289E+00   2.66645663E+03
  361 3771  7.385754196477218E+00   8.10882765E+01
  362 3780  7.377166937807752E+00   4.56871030E+03
  363 3789  7.371400327713116E+00   1.24575692E+03
  364 3808  7.336156041159443E+00   3.30630243E+03
  365 3817  7.324071819658683E+00   6.34324288E+03
  366 3827  7.313811595887946E+00   5.20273608E+03
  367 3842  7.296066040589475E+00   6.38514766E+02
  368 3858  7.281428968507915E+00   1.14534823E+03
  369 3873  7.266836897927493E+00   3.39546828E+03
  370 3882  7.259291901068870E+00   5.16670727E+03
  371 3890  7.253196321468739E+00   9.59461398E+02
  372 3899  7.245755719573146E+00   4.19718930E+03
  373 3908  7.241680525388959E+00   3.10906465E+03
  374 3917  7.237247166876124E+00   2.32985343E+03
  375 3942  7.201786830978964E+00   7.13059454E+02
  376 3952  7.195381658874290E+00   5.84147555E+02
  377 3961  7.185732719978101E+00   3.04304546E+02
  378 3976  7.171715546976566E+00   1.42924090E+03
  379 3985  7.166305418815361E+00   2.47206867E+03
  380 4000  7.151274169745585E+00   5.17864235E+02
  381 4026  7.123397100645048E+00   7.34638640E+03
  382 4035  7.118885616160090E+00   1.59955609E+03
  383 4050  7.106550778799742E+00   1.05494007E+04
  384 4063  7.098771432168343E+00   7.33564405E+02
