  NIT   NF   F                       GTG
  192 2620  8.035402383457138E-02   1.69452164E+01
  193 2646  7.855143505415171E-02   1.58920395E+01
  194 2657  7.812724905097472E-02   1.31344506E+01
  195 2668  7.750971790595185E-02   4.81256598E+00
  196 2679  7.680032075789706E-02   4.54817526E+01
  197 2692  7.594938234144707E-02   5.30383764E+00
  198 2718  7.413381998048420E-02   4.27048121E+01
  199 2734  7.334025429554188E-02   4.90574924E+00
  200 2755  7.161559932409532E-02   1.08286918E+01
  201 2770  7.052312657084235E-02   3.94547829E+00
  202 2788  6.939078805019792E-02   3.61824313E+00
  203 2807  6.832125063680261E-02   2.11628039E+01
  204 2826  6.734432203687063E-02   3.48375910E+01
  205 2838  6.668766485483715E-02   3.02245298E+01
  206 2850  6.605515387765593E-02   5.02235088E+00
  207 2867  6.513010224684491E-02   1.72814645E+00
  208 2896  6.352405160077956E-02   7.14488133E+00
  209 2909  6.299106080417495E-02   1.64512858E+01
  210 2921  6.253261865925207E-02   2.26607013E+00
  211 2941  6.165011701843147E-02   5.43039487E+00
  212 2967  6.022803660892020E-02   3.93689889E+00
  213 2983  5.967915267722711E-02   4.18060936E+00
  214 2995  5.927936229916701E-02   8.60064706E+00
  215 3006  5.895570409889538E-02   1.16519864E+00
  216 3017  5.858775058988409E-02   1.38469760E+01
  217 3028  5.816080187076217E-02   6.01997550E+00
  218 3038  5.784206388774146E-02   2.21847139E+00
  219 3054  5.733010032843865E-02   3.10765357E+00
  220 3070  5.672346277860662E-02   6.75063545E-01
  221 3096  5.575616934616141E-02   3.36527728E+00
  222 3108  5.546021069387520E-02   5.25788234E+00
  223 3127  5.483288645513074E-02   5.44351041E+00
  224 3142  5.433084372157466E-02   4.72885622E+00
  225 3166  5.346071738549529E-02   7.77570987E+00
  226 3178  5.317538968386257E-02   6.88772391E+00
  227 3190  5.282673692564980E-02   1.80239221E+01
  228 3200  5.260176850157165E-02   1.40808681E+01
  229 3210  5.227487876326431E-02   1.11007254E+01
  230 3229  5.157944389096668E-02   1.68918823E+01
  231 3240  5.127501638816388E-02   2.63411893E+00
  232 3258  5.065336803728788E-02   1.13470041E+01
  233 3268  5.033241757133880E-02   2.37453854E+01
  234 3286  4.967678454695642E-02   2.26596531E+00
  235 3301  4.924580409049633E-02   6.05947533E+00
  236 3327  4.844334097707764E-02   1.32668035E+00
  237 3349  4.775136236724344E-02   3.96832635E+00
  238 3396  4.622944965167665E-02   8.81614663E+00
  239 3401  4.606825314995403E-02   4.23208358E-01
  240 3412  4.587754244206523E-02   5.68611729E+00
  241 3423  4.566859824397537E-02   1.60537431E+00
  242 3434  4.541211695177116E-02   1.02660272E+00
  243 3445  4.511139311164682E-02   4.06181954E+00
  244 3457  4.484765208381941E-02   1.56344510E+00
  245 3468  4.455954299675575E-02   4.79963861E+00
  246 3484  4.406859574792603E-02   1.97480830E+00
  247 3504  4.348650553628686E-02   7.29646998E+00
  248 3532  4.244221970780249E-02   1.09924623E+01
  249 3544  4.216095121141634E-02   3.90573188E+00
  250 3555  4.174881916181664E-02   1.69760092E+00
  251 3570  4.141837749889226E-02   3.75906395E+00
  252 3584  4.111489469329342E-02   2.10701403E+00
  253 3599  4.072273967977372E-02   3.01024113E+00
